Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2641,Q4765,gsang ba'i thigs pa'i man ngag gi 'grel pa,I1PD95889,435-445,I1PD958890464.jpg,I1PD958890474.jpg
AT2642,Q4766,dbang cig car 'jug pa'i man ngag,I1PD95889,446-457,I1PD958890475.jpg,I1PD958890486.jpg
AT2643,Q4767,bde ba chen po phyag rgya'i man ngag zhes bya ba,I1PD95889,458-466,I1PD958890487.jpg,I1PD958890495.jpg
AT2644,Q4768,sgeg rdor gyis mdzad pa'i rgyud bshags,I1PD95889,467-469,I1PD958890496.jpg,I1PD958890498.jpg
AT2645,Q4769,bi ma las mdzad pa'i tshigs rkang bcu dgu pa,I1PD95889,470-472,I1PD958890499.jpg,I1PD958890501.jpg
AT2646,Q4770,sgyu 'phrul dra ba rab tu gnas pa'i cho ga'i rim pa zhes bya ba,I1PD95889,473-480,I1PD958890502.jpg,I1PD958890509.jpg
AT2647,Q4771,in+dra b+hA+u ti'i rim pa gnyis pa,I1PD95889,481-483,I1PD958890510.jpg,I1PD958890512.jpg
AT2648,Q4772,zhi ba'i lha rgyud ces bya ba,I1PD95889,484-493,I1PD958890513.jpg,I1PD958890522.jpg
AT2649,Q4773,sgyu 'phrul tshogs kyi 'khor lo thugs kyi sgrub pa,I1PD95889,494-500,I1PD958890523.jpg,I1PD958890529.jpg
AT2650,Q4774,rdo rje sems dpa' sgyu 'phrul dra ba 'od kyi phyag rgya zhes bya ba,I1PD95889,501-507,I1PD958890530.jpg,I1PD958890536.jpg
AT2651,Q4775,khro bo las kyi 'phreng ba bsdus pa,I1PD95889,508-523,I1PD958890537.jpg,I1PD958890552.jpg
AT2652,Q4776,khro bo yang dag sgron ma,I1PD95889,524-534,I1PD958890553.jpg,I1PD958890563.jpg
AT2653,Q4777,lha'i sku sgom pa'i man ngag,I1PD95889,535-537,I1PD958890564.jpg,I1PD958890566.jpg
AT2654,Q4778,phyag rgya bzhi pa'i bsam gtan,I1PD95889,538-551,I1PD958890567.jpg,I1PD958890580.jpg
AT2655,Q4779,khro bo phyag rgya gcig pa,I1PD95889,552-554,I1PD958890581.jpg,I1PD958890583.jpg
AT2656,Q4780,spyod yul sbyong ba'i bsam gtan zhes bya ba,I1PD95889,555-568,I1PD958890584.jpg,I1PD958890597.jpg
AT2657,Q4781,mdo rgyud rtogs pa'i sgron ma zhes bya ba,I1PD95889,569-592,I1PD958890598.jpg,I1PD958890621.jpg
AT2658,Q4782,dpal sgyu 'phrul chen mo'i gtor ma'i cho ga,I1PD95889,593-596,I1PD958890622.jpg,I1PD958890625.jpg
AT2659,Q4783,dran pa gcig pa,I1PD95889,597-598,I1PD958890626.jpg,I1PD958890627.jpg
AT2660,Q4784,sgyu 'phrul chen mo'i man ngag,I1PD95889,599-601,I1PD958890628.jpg,I1PD958890630.jpg
AT2661,Q4785,rdo rje bdud rtsi gsum gyi mngon par rtogs pa,I1PD95889,602-611,I1PD958890631.jpg,I1PD958890640.jpg
AT2662,Q4786,rdo rje dril thabs kyi mchod pa'i cho ga,I1PD95889,612-618,I1PD958890641.jpg,I1PD958890647.jpg
AT2663,Q4787,rgyud kyi rgyal po chen po dpal gsang ba 'dus pa'i rgya cher 'grel pa,I1PD95889,621-1341,I1PD958890652.jpg,I1PD958891372.jpg
AT2664,Q4788,bsdus pa'i rim pa'i bsgrub thabs,I1PD95891,779-803,I1PD958910810.jpg,I1PD958910834.jpg
AT2665,Q4789,dpal gsang ba 'dus pa'i man ngag rim pa lnga pa zhes bya ba,I1PD95891,804-834,I1PD958910835.jpg,I1PD958910865.jpg
AT2669,Q4795,gshin rje gshed nag po'i dkyil 'khor kyi cho ga,I1PD95891,890-938,I1PD958910921.jpg,I1PD958910969.jpg
AT2671,Q4797,gshin rje gshed nag po'i 'khor lo'i gsal byed,I1PD95891,956-962,I1PD958910987.jpg,I1PD958910993.jpg
